DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
05/03/2012;14:23:01;25;6653.13;6653.97;6653.13;6657.34
05/03/2012;14:24:01;32;6654.65;6663.62;6654.65;6663.62
05/03/2012;14:25:01;26;6664.12;6663.42;6662.21;6666.21
05/03/2012;14:26:01;21;6663.5;6666.51;6663.48;6666.51
05/03/2012;14:27:01;30;6666.22;6665.81;6664.67;6666.3
05/03/2012;14:28:01;35;6665.21;6665.1;6664.86;6666.01
05/03/2012;14:29:01;55;6664.88;6671.99;6664.6;6672.51
05/03/2012;14:30:01;45;6672.2;6669.89;6666.55;6672.4
05/03/2012;14:31:01;32;6670.53;6672.79;6670.51;6672.89
05/03/2012;14:32:01;37;6672.86;6675.81;6672.33;6675.81
05/03/2012;14:33:01;39;6675.82;6676.89;6674.88;6678.75
05/03/2012;14:34:01;40;6677.04;6678.19;6676.74;6678.57
05/03/2012;14:35:01;42;6678.28;6682.64;6676.69;6682.64
05/03/2012;14:36:01;38;6682.68;6681.29;6680.42;6682.92
05/03/2012;14:37:01;47;6681.38;6682.55;6681.32;6683.67
05/03/2012;14:38:01;36;6682.5;6688.74;6682.5;6689.55
05/03/2012;14:39:01;30;6688.59;6690.39;6688.02;6690.73
05/03/2012;14:40:01;36;6690.22;6691.87;6689.22;6691.87
05/03/2012;14:41:01;42;6691.9;6689.29;6689.29;6692.11
05/03/2012;14:42:01;44;6689.24;6687.51;6687.33;6689.53
05/03/2012;14:43:01;42;6687.52;6687.61;6687.03;6688.36
05/03/2012;14:44:01;45;6687.96;6686.54;6686.54;6689.25
05/03/2012;14:45:01;27;6686.55;6685.54;6685.47;6686.83
05/03/2012;14:46:01;33;6686.25;6683.15;6683.15;6686.39
05/03/2012;14:47:01;30;6683.05;6685.56;6682.97;6685.56
05/03/2012;14:48:01;36;6685.66;6685.32;6685.32;6686.46
05/03/2012;14:49:01;44;6685.37;6690.38;6684.4;6690.42
05/03/2012;14:50:01;33;6689.65;6685.81;6685.09;6689.81
05/03/2012;14:51:01;42;6686.01;6685.41;6685.22;6686.09
05/03/2012;14:52:01;42;6685.3;6684.63;6684.04;6686.89
05/03/2012;14:53:01;47;6683.66;6683.8;6683.02;6685.47
05/03/2012;14:54:01;32;6683.75;6688.07;6683.53;6688.86
05/03/2012;14:55:01;32;6688.01;6692.67;6687.88;6692.7
05/03/2012;14:56:01;31;6692.83;6698.49;6692.83;6701.69
05/03/2012;14:57:01;45;6698.53;6700.59;6698.45;6700.66
05/03/2012;14:58:01;42;6700.54;6700.33;6698.6;6701.06
05/03/2012;14:59:01;39;6700.28;6704.48;6699.75;6705.04
05/03/2012;15:00:01;41;6704.54;6700.26;6700.26;6704.94
05/03/2012;15:01:01;24;6699.58;6698.08;6697.93;6699.58
05/03/2012;15:02:01;32;6698.54;6695.76;6695.76;6698.58
05/03/2012;15:03:01;33;6695.8;6690.42;6690.41;6695.8
05/03/2012;15:04:01;40;6690.46;6692.84;6690.46;6695.42
05/03/2012;15:05:01;42;6692.85;6691.96;6691.96;6693.37
05/03/2012;15:06:01;43;6691.93;6690.7;6688.51;6691.96
05/03/2012;15:07:01;44;6690.59;6688.04;6687.74;6690.99
05/03/2012;15:08:01;46;6687.95;6687.2;6686.8;6690
05/03/2012;15:09:01;44;6687.23;6688.99;6687.02;6689.09
05/03/2012;15:10:01;43;6688.87;6688.93;6688.6;6689.8
05/03/2012;15:11:01;48;6688.58;6689.09;6688.57;6690.12
05/03/2012;15:12:01;40;6689.18;6687.41;6686.23;6690.2
05/03/2012;15:13:01;48;6687.46;6685.22;6683.91;6689.07
05/03/2012;15:14:01;41;6685.28;6686.44;6682.88;6686.44
05/03/2012;15:15:01;26;6686.68;6689.83;6686.28;6689.83
05/03/2012;15:16:01;31;6690.75;6692.36;6690.75;6692.39
05/03/2012;15:17:01;27;6692.52;6689.83;6689.83;6693.98
05/03/2012;15:18:01;38;6689.03;6695.19;6687.8;6695.19
05/03/2012;15:19:01;43;6695.04;6693.14;6693;6695.29
05/03/2012;15:20:01;41;6693.67;6698.13;6693.67;6698.13
05/03/2012;15:21:01;44;6698.69;6699.54;6696.33;6699.54
05/03/2012;15:22:01;51;6699.4;6696.85;6696.16;6699.72
05/03/2012;15:23:01;41;6697.06;6698.81;6694.23;6698.98
05/03/2012;15:24:01;47;6698.85;6699.18;6698.85;6699.73
05/03/2012;15:25:01;42;6699.14;6699.25;6698.27;6699.64
05/03/2012;15:26:01;47;6698.21;6697.96;6697.42;6699.02
05/03/2012;15:27:01;48;6697.73;6693.07;6693.07;6697.73
05/03/2012;15:28:01;57;6693.08;6691.11;6690.52;6694.05
05/03/2012;15:29:01;42;6691.04;6695.09;6690.99;6695.09
05/03/2012;15:30:01;2;6694.75;6694.97;6694.75;6694.97
05/03/2012;15:35:01;22;6694.76;6694.44;6693.39;6695.73
05/04/2012;07:00:01;27;6682.96;6679.35;6678.81;6683.89
05/04/2012;07:01:01;48;6679.01;6677.05;6674.91;6679.01
05/04/2012;07:02:01;51;6676.44;6673.25;6671.59;6676.44
05/04/2012;07:03:01;54;6673.61;6662.24;6662.24;6674.82
05/04/2012;07:04:01;51;6662.01;6663.92;6660.74;6665.35
